PNG,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
PNG,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
PNG,SII - Covishield,Covishield,Serum Institute of India
POL,Moderna - mRNA-1273,mRNA-1273,Moderna
POL,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
POL,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
POL,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
PRI,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
PRI,Moderna - mRNA-1273,mRNA-1273,Moderna
PRI,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
PRT,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
PRT,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
PRT,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
PRT,Moderna - mRNA-1273,mRNA-1273,Moderna
PRY,Bharat - Covaxin,Covaxin,Bharat Biotech
PRY,Moderna - mRNA-1273,mRNA-1273,Moderna
PRY,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
PRY,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
PRY,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
PRY,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
PRY,Sinovac - CoronaVac,Coronavac,Sinovac
PSE,Sinovac - CoronaVac,Coronavac,Sinovac
PSE,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
PSE,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
PSE,Moderna - mRNA-1273,mRNA-1273,Moderna
PSE,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
PSE,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
PSE,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
PYF,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
PYF,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
QAT,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
QAT,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
QAT,Moderna - mRNA-1273,mRNA-1273,Moderna
QAT,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
ROU,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
ROU,Moderna - mRNA-1273,mRNA-1273,Moderna
ROU,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
ROU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
RUS,SRCVB - EpiVacCorona,EpiVacCorona,State Research Center of Virology & Biotechnology
RUS,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
RWA,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
RWA,Moderna - mRNA-1273,mRNA-1273,Moderna
RWA,SII - Covishield,Covishield,Serum Institute of India
SAU,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
SAU,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
SAU,Moderna - mRNA-1273,mRNA-1273,Moderna
SAU,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
SDN,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
SDN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
SDN,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
SDN,Sinovac - CoronaVac,Coronavac,Sinovac
SDN,SII - Covishield,Covishield,Serum Institute of India
SEN,SII - Covishield,Covishield,Serum Institute of India
SEN,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
SGP,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
SGP,Moderna - mRNA-1273,mRNA-1273,Moderna
SGP,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
SHN,AstraZeneca - AZD1222,AZD1222,AstraZeneca
SLB,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
SLB,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
SLB,SII - Covishield,Covishield,Serum Institute of India
SLE,SII - Covishield,Covishield,Serum Institute of India
SLE,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
SLV,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
SLV,Moderna - mRNA-1273,mRNA-1273,Moderna
SLV,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
SLV,SII - Covishield,Covishield,Serum Institute of India
SLV,Sinovac - CoronaVac,Coronavac,Sinovac
SMR,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
SMR,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
SOM,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
SOM,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
SOM,Sinovac - CoronaVac,Coronavac,Sinovac
SOM,SII - Covishield,Covishield,Serum Institute of India
SRB,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
SRB,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
SRB,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
SRB,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
SSD,SII - Covishield,Covishield,Serum Institute of India
STP,SII - Covishield,Covishield,Serum Institute of India
STP,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
SUR,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
SUR,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
SUR,SII - Covishield,Covishield,Serum Institute of India
SVK,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
SVK,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
SVK,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
SVK,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
SVK,Moderna - mRNA-1273,mRNA-1273,Moderna
SVN,Moderna - mRNA-1273,mRNA-1273,Moderna
SVN,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
SVN,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
SVN,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
SWE,Moderna - mRNA-1273,mRNA-1273,Moderna
SWE,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
SWE,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
SWZ,SII - Covishield,Covishield,Serum Institute of India
SXM,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
SXM,Moderna - mRNA-1273,mRNA-1273,Moderna
SXM,AstraZeneca - Vaxzevria,Vaxzevria,AstraZeneca
SYC,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
SYC,SII - Covishield,Covishield,Serum Institute of India
SYR,SII - Covishield,Covishield,Serum Institute of India
SYR,Sinovac - CoronaVac,Coronavac,Sinovac
SYR,Gamaleya - Sputnik V,Sputnik V,Gamaleya Research Institute
SYR,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
SYR,Janssen - Ad26.COV 2.5,Ad26.COV 2.5,Janssen Pharmaceuticals
TCA,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
TCD,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
TGO,SII - Covishield,Covishield,Serum Institute of India
THA,Sinovac - CoronaVac,Coronavac,Sinovac
THA,SII - Covishield,Covishield,Serum Institute of India
THA,Beijing CNBG - BBIBP-CorV,BBIBP-CorV,Beijing Bio-Institute Biological Products (CNBG)
THA,Pfizer BioNTech - Comirnaty,Comirnaty,Pfizer BioNTech
